,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
0,53.0,P,0.0,0.0,bath,0,bath,,spOspan.noVer,E7
1,53.0,P,0.0,1.0,dawn,,,,spOspan.noVer,E7
2,53.0,P,1.0,0.0,hood,0,hood,,spOspan.noVer,E7
3,53.0,P,1.0,1.0,wood,1,wood,,spOspan.noVer,E7
4,53.0,P,2.0,0.0,earth,0,earth,,spOspan.noVer,E7
5,53.0,P,2.0,1.0,peach,1,peach,,spOspan.noVer,E7
6,53.0,P,3.0,0.0,farm,0,farm,,spOspan.noVer,E7
7,53.0,P,3.0,1.0,arm,1,arm,,spOspan.noVer,E7
8,53.0,S,4.0,0.0,king,0,king,3228.0,spOspan.noVer,E7
9,53.0,S,4.0,1.0,ring,1,spring,3671.0,spOspan.noVer,E7
10,53.0,S,4.0,2.0,spring,2,,3214.0,spOspan.noVer,E7
11,53.0,S,4.0,3.0,string,3,wing,4039.0,spOspan.noVer,E7
12,53.0,S,4.0,4.0,wing,,,3201.0,spOspan.noVer,E7
13,53.0,S,5.0,0.0,pie,0,pie,3309.0,spOspan.noVer,E7
14,53.0,S,5.0,1.0,fly,1,fly,3300.0,spOspan.noVer,E7
15,53.0,S,5.0,2.0,tie,2,tie,3547.0,spOspan.noVer,E7
16,53.0,S,5.0,3.0,sky,3,,3448.0,spOspan.noVer,E7
17,53.0,S,5.0,4.0,eye,4,,3075.0,spOspan.noVer,E7
18,53.0,S,6.0,0.0,deer,0,dear,2999.0,spOspan.noVer,E7
19,53.0,S,6.0,1.0,sphere,1,sphere,2898.0,spOspan.noVer,E7
20,53.0,S,6.0,2.0,ear,2,ear,3082.0,spOspan.noVer,E7
21,53.0,S,6.0,3.0,tear,3,tear,3106.0,spOspan.noVer,E7
22,53.0,S,7.0,0.0,band,0,band,3623.0,spOspan.noVer,E7
23,53.0,S,7.0,1.0,land,1,stand,3242.0,spOspan.noVer,E7
24,53.0,S,7.0,2.0,stand,2,land,2867.0,spOspan.noVer,E7
25,53.0,S,7.0,3.0,hand,3,hand,3787.0,spOspan.noVer,E7
26,53.0,S,8.0,0.0,jar,0,jar,3507.0,spOspan.noVer,E7
27,53.0,S,8.0,1.0,bar,1,bar,3146.0,spOspan.noVer,E7
28,53.0,S,8.0,2.0,car,2,car,3656.0,spOspan.noVer,E7
29,53.0,S,8.0,3.0,scar,3,,4358.0,spOspan.noVer,E7
30,53.0,S,8.0,4.0,star,4,,3987.0,spOspan.noVer,E7
31,53.0,S,9.0,0.0,doll,0,doll,3723.0,spOspan.noVer,E7
32,53.0,S,9.0,1.0,ball,1,ball,3858.0,spOspan.noVer,E7
33,53.0,S,9.0,2.0,shawl,2,shawl,3281.0,spOspan.noVer,E7
34,53.0,S,9.0,3.0,hall,3,hall,3425.0,spOspan.noVer,E7
35,53.0,S,9.0,4.0,brawl,4,wall,2868.0,spOspan.noVer,E7
36,53.0,S,9.0,5.0,wall,,,2794.0,spOspan.noVer,E7
37,53.0,S,10.0,0.0,boot,0,boot,2761.0,spOspan.noVer,E7
38,53.0,S,10.0,1.0,suit,1,suit,3470.0,spOspan.noVer,E7
39,53.0,S,10.0,2.0,flute,2,flute,3190.0,spOspan.noVer,E7
40,53.0,S,10.0,3.0,loot,3,loot,3417.0,spOspan.noVer,E7
41,53.0,S,10.0,4.0,root,4,root,3083.0,spOspan.noVer,E7
42,53.0,S,10.0,5.0,brute,5,brute,3750.0,spOspan.noVer,E7
43,53.0,S,11.0,0.0,blouse,0,blouse,2995.0,spOspan.noVer,E7
44,53.0,S,11.0,1.0,house,1,house,3639.0,spOspan.noVer,E7
45,53.0,S,11.0,2.0,mouse,2,mouse,3497.0,spOspan.noVer,E7
46,53.0,S,12.0,0.0,bread,0,bread,2884.0,spOspan.noVer,E7
47,53.0,S,12.0,1.0,head,1,head,4747.0,spOspan.noVer,E7
48,53.0,S,12.0,2.0,thread,2,thread,3296.0,spOspan.noVer,E7
49,53.0,S,12.0,3.0,bed,3,bed,3401.0,spOspan.noVer,E7
50,53.0,S,13.0,0.0,cream,0,cream,3406.0,spOspan.noVer,E7
51,53.0,S,13.0,1.0,team,1,team,3528.0,spOspan.noVer,E7
52,53.0,S,13.0,2.0,steam,2,steam,3448.0,spOspan.noVer,E7
53,53.0,S,14.0,0.0,bone,0,bone,2913.0,spOspan.noVer,E7
