,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
0,1.0,P,0.0,0.0,earth,0,earth,,R.scramb,E7
1,1.0,P,0.0,1.0,peach,1,peach,,R.scramb,E7
2,1.0,P,1.0,0.0,bath,0,bath,,R.scramb,E7
3,1.0,P,1.0,1.0,dawn,1,dawn,,R.scramb,E7
4,1.0,P,2.0,0.0,farm,0,farm,,R.scramb,E7
5,1.0,P,2.0,1.0,arm,1,arm,,R.scramb,E7
6,1.0,P,3.0,0.0,hood,0,hood,,R.scramb,E7
7,1.0,P,3.0,1.0,wood,1,wood,,R.scramb,E7
8,1.0,D,4.0,0.0,neck,0,neck,5638.0,R.scramb,E7
9,1.0,D,4.0,1.0,town,1,town,5624.0,R.scramb,E7
10,1.0,D,4.0,2.0,hat,2,hat,7232.0,R.scramb,E7
11,1.0,D,4.0,3.0,street,3,street,8283.0,R.scramb,E7
12,1.0,D,5.0,0.0,mare,0,mare,4928.0,R.scramb,E7
13,1.0,D,5.0,1.0,bell,1,,4846.0,R.scramb,E7
14,1.0,D,5.0,2.0,brain,2,brain,6347.0,R.scramb,E7
15,1.0,D,5.0,3.0,beef,3,beef,7814.0,R.scramb,E7
16,1.0,D,6.0,0.0,shell,0,,5259.0,R.scramb,E7
17,1.0,D,6.0,1.0,tree,1,brain,6067.0,R.scramb,E7
18,1.0,D,6.0,2.0,bowl,2,tree,7086.0,R.scramb,E7
19,1.0,D,6.0,3.0,broom,3,shell,7035.0,R.scramb,E7
20,1.0,D,6.0,4.0,test,,,5398.0,R.scramb,E7
21,1.0,D,6.0,5.0,ground,,,6483.0,R.scramb,E7
22,1.0,D,7.0,0.0,ant,0,ant,5409.0,R.scramb,E7
23,1.0,D,7.0,1.0,air,1,air,5014.0,R.scramb,E7
24,1.0,D,7.0,2.0,ink,2,,5854.0,R.scramb,E7
25,1.0,D,7.0,3.0,cloud,3,sheet,6038.0,R.scramb,E7
26,1.0,D,7.0,4.0,seat,4,breath,5561.0,R.scramb,E7
27,1.0,D,7.0,5.0,breath,,,5790.0,R.scramb,E7
28,1.0,D,8.0,0.0,deck,0,deck,5033.0,R.scramb,E7
29,1.0,D,8.0,1.0,slice,1,slice,4540.0,R.scramb,E7
30,1.0,D,8.0,2.0,rat,2,rat,6052.0,R.scramb,E7
31,1.0,D,9.0,0.0,toy,0,,5361.0,R.scramb,E7
32,1.0,D,9.0,1.0,wreck,1,wreck,6046.0,R.scramb,E7
33,1.0,D,9.0,2.0,frown,2,frown,7156.0,R.scramb,E7
34,1.0,D,10.0,0.0,spice,0,,4606.0,R.scramb,E7
35,1.0,D,10.0,1.0,heat,1,share,4812.0,R.scramb,E7
36,1.0,D,10.0,2.0,shape,2,,6172.0,R.scramb,E7
37,1.0,D,10.0,3.0,pear,3,guest,6332.0,R.scramb,E7
38,1.0,D,10.0,4.0,guest,,,6921.0,R.scramb,E7
39,1.0,D,11.0,0.0,coin,0,,6433.0,R.scramb,E7
40,1.0,D,11.0,1.0,film,1,coin,4788.0,R.scramb,E7
41,1.0,D,11.0,2.0,leaf,2,,6207.0,R.scramb,E7
42,1.0,D,11.0,3.0,train,3,art,7156.0,R.scramb,E7
43,1.0,D,11.0,4.0,map,,,7159.0,R.scramb,E7
44,1.0,D,11.0,5.0,art,,,7044.0,R.scramb,E7
45,1.0,D,12.0,0.0,rice,0,rice,6287.0,R.scramb,E7
46,1.0,D,12.0,1.0,cat,1,cat,5588.0,R.scramb,E7
47,1.0,D,12.0,2.0,trash,2,trash,4959.0,R.scramb,E7
48,1.0,D,13.0,0.0,path,0,raft,4324.0,R.scramb,E7
49,1.0,D,13.0,1.0,nest,1,nest,5361.0,R.scramb,E7
50,1.0,D,13.0,2.0,square,2,wood,5143.0,R.scramb,E7
51,1.0,D,13.0,3.0,wood,3,square,11031.0,R.scramb,E7
52,1.0,D,13.0,4.0,beach,4,beach,7337.0,R.scramb,E7
53,1.0,D,14.0,0.0,chest,0,,4820.0,R.scramb,E7
54,1.0,D,14.0,1.0,lane,1,lane,6780.0,R.scramb,E7
55,1.0,D,14.0,2.0,hair,2,hair,6956.0,R.scramb,E7
56,1.0,D,14.0,3.0,crown,3,crown,5727.0,R.scramb,E7
57,1.0,D,15.0,0.0,beard,0,beard,5703.0,R.scramb,E7
58,1.0,D,15.0,1.0,hill,1,hill,5183.0,R.scramb,E7
59,1.0,D,15.0,2.0,dirt,2,dirt,6111.0,R.scramb,E7
60,1.0,D,15.0,3.0,card,3,line,8242.0,R.scramb,E7
61,1.0,D,15.0,4.0,line,,,8159.0,R.scramb,E7
62,1.0,S,16.0,0.0,doll,0,doll,5108.0,R.scramb,E7
63,1.0,S,16.0,1.0,ball,1,ball,5679.0,R.scramb,E7
64,1.0,S,16.0,2.0,shawl,2,shawl,4684.0,R.scramb,E7
65,1.0,S,16.0,3.0,hall,3,hall,8026.0,R.scramb,E7
66,1.0,S,16.0,4.0,brawl,4,brawl,9037.0,R.scramb,E7
67,1.0,S,16.0,5.0,wall,,,5183.0,R.scramb,E7
68,1.0,S,17.0,0.0,cream,0,cream,5159.0,R.scramb,E7
69,1.0,S,17.0,1.0,team,1,team,4901.0,R.scramb,E7
70,1.0,S,17.0,2.0,steam,2,steam,7165.0,R.scramb,E7
71,1.0,S,18.0,0.0,deer,0,deer,4890.0,R.scramb,E7
72,1.0,S,18.0,1.0,sphere,1,fear,5367.0,R.scramb,E7
73,1.0,S,18.0,2.0,ear,2,ear,5045.0,R.scramb,E7
74,1.0,S,18.0,3.0,tear,3,tear,6986.0,R.scramb,E7
75,1.0,S,19.0,0.0,king,0,king,4669.0,R.scramb,E7
76,1.0,S,19.0,1.0,ring,1,ring,6175.0,R.scramb,E7
77,1.0,S,19.0,2.0,spring,2,,5936.0,R.scramb,E7
78,1.0,S,19.0,3.0,string,3,string,5016.0,R.scramb,E7
79,1.0,S,19.0,4.0,wing,4,,8944.0,R.scramb,E7
80,1.0,S,20.0,0.0,boot,0,boot,6405.0,R.scramb,E7
81,1.0,S,20.0,1.0,suit,1,suit,6138.0,R.scramb,E7
82,1.0,S,20.0,2.0,flute,2,flute,5954.0,R.scramb,E7
83,1.0,S,20.0,3.0,loot,3,loot,6605.0,R.scramb,E7
84,1.0,S,20.0,4.0,root,,,9386.0,R.scramb,E7
85,1.0,S,20.0,5.0,brute,,,6445.0,R.scramb,E7
86,1.0,S,21.0,0.0,bread,0,bread,4248.0,R.scramb,E7
87,1.0,S,21.0,1.0,head,1,thread,4541.0,R.scramb,E7
88,1.0,S,21.0,2.0,thread,2,bed,6117.0,R.scramb,E7
89,1.0,S,21.0,3.0,bed,,,5432.0,R.scramb,E7
90,1.0,S,22.0,0.0,mail,0,trail,7208.0,R.scramb,E7
91,1.0,S,22.0,1.0,sail,1,rail,7613.0,R.scramb,E7
92,1.0,S,22.0,2.0,trail,2,tail,5141.0,R.scramb,E7
93,1.0,S,22.0,3.0,wail,,,6197.0,R.scramb,E7
94,1.0,S,22.0,4.0,tail,,,5864.0,R.scramb,E7
95,1.0,S,22.0,5.0,jail,,,6592.0,R.scramb,E7
96,1.0,S,23.0,0.0,bone,0,bone,4848.0,R.scramb,E7
97,1.0,S,23.0,1.0,phone,1,phone,5285.0,R.scramb,E7
