,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
0,8.0,P,0.0,0.0,hood,0,hood,,Rspan.long,E2
1,8.0,P,0.0,1.0,wood,1,wood,,Rspan.long,E2
2,8.0,P,1.0,0.0,bath,0,bath,,Rspan.long,E2
3,8.0,P,1.0,1.0,dawn,1,dawn,,Rspan.long,E2
4,8.0,P,2.0,0.0,earth,0,earth,,Rspan.long,E2
5,8.0,P,2.0,1.0,peach,1,peach,,Rspan.long,E2
6,8.0,P,3.0,0.0,farm,0,farm,,Rspan.long,E2
7,8.0,P,3.0,1.0,arm,1,arm,,Rspan.long,E2
8,8.0,S,4.0,0.0,pie,0,pie,4175.0,Rspan.long,E2
9,8.0,S,4.0,1.0,fly,1,,4032.0,Rspan.long,E2
10,8.0,S,4.0,2.0,tie,2,sky,3472.0,Rspan.long,E2
11,8.0,S,4.0,3.0,sky,3,,4208.0,Rspan.long,E2
12,8.0,S,4.0,4.0,eye,4,eye,4360.0,Rspan.long,E2
13,8.0,S,5.0,0.0,boot,0,boot,4169.0,Rspan.long,E2
14,8.0,S,5.0,1.0,suit,1,suit,4016.0,Rspan.long,E2
15,8.0,S,5.0,2.0,flute,2,flute,4208.0,Rspan.long,E2
16,8.0,S,5.0,3.0,loot,3,,3816.0,Rspan.long,E2
17,8.0,S,5.0,4.0,root,4,loot,3808.0,Rspan.long,E2
18,8.0,S,5.0,5.0,brute,5,,3663.0,Rspan.long,E2
19,8.0,S,6.0,0.0,band,0,band,3849.0,Rspan.long,E2
20,8.0,S,6.0,1.0,land,1,land,3656.0,Rspan.long,E2
21,8.0,S,6.0,2.0,stand,2,stand,4288.0,Rspan.long,E2
22,8.0,S,6.0,3.0,hand,3,hand,3760.0,Rspan.long,E2
23,8.0,S,7.0,0.0,jar,0,bar,4296.0,Rspan.long,E2
24,8.0,S,7.0,1.0,bar,1,car,3984.0,Rspan.long,E2
25,8.0,S,7.0,2.0,car,2,,3248.0,Rspan.long,E2
26,8.0,S,7.0,3.0,scar,3,star,4056.0,Rspan.long,E2
27,8.0,S,7.0,4.0,star,,,4176.0,Rspan.long,E2
28,8.0,S,8.0,0.0,cream,0,cream,3833.0,Rspan.long,E2
29,8.0,S,8.0,1.0,team,1,,4360.0,Rspan.long,E2
30,8.0,S,8.0,2.0,steam,2,steam,4160.0,Rspan.long,E2
31,8.0,S,9.0,0.0,bread,0,bread,4081.0,Rspan.long,E2
32,8.0,S,9.0,1.0,head,1,head,4232.0,Rspan.long,E2
33,8.0,S,9.0,2.0,thread,2,,3656.0,Rspan.long,E2
34,8.0,S,9.0,3.0,bed,3,bed,4496.0,Rspan.long,E2
35,8.0,S,10.0,0.0,king,0,king,4097.0,Rspan.long,E2
36,8.0,S,10.0,1.0,ring,1,ring,3504.0,Rspan.long,E2
37,8.0,S,10.0,2.0,spring,2,,4328.0,Rspan.long,E2
38,8.0,S,10.0,3.0,string,3,string,4072.0,Rspan.long,E2
39,8.0,S,10.0,4.0,wing,4,,3944.0,Rspan.long,E2
40,8.0,S,11.0,0.0,deer,0,deer,3233.0,Rspan.long,E2
41,8.0,S,11.0,1.0,sphere,1,sphere,4288.0,Rspan.long,E2
42,8.0,S,11.0,2.0,ear,2,tear,4304.0,Rspan.long,E2
43,8.0,S,11.0,3.0,tear,3,ear,4448.0,Rspan.long,E2
