,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
0,13.0,P,0.0,0.0,farm,0,farm,,Rspan.short,E2
1,13.0,P,0.0,1.0,arm,1,arm,,Rspan.short,E2
2,13.0,P,1.0,0.0,bath,0,bath,,Rspan.short,E2
3,13.0,P,1.0,1.0,dawn,1,dawn,,Rspan.short,E2
4,13.0,P,2.0,0.0,hood,0,hood,,Rspan.short,E2
5,13.0,P,2.0,1.0,wood,1,wood,,Rspan.short,E2
6,13.0,P,3.0,0.0,earth,0,earth,,Rspan.short,E2
7,13.0,P,3.0,1.0,peach,1,peach,,Rspan.short,E2
8,13.0,D,4.0,0.0,rice,0,ice,3223.0,Rspan.short,E2
9,13.0,D,4.0,1.0,cat,1,cat,4071.0,Rspan.short,E2
10,13.0,D,4.0,2.0,trash,2,trash,3495.0,Rspan.short,E2
11,13.0,D,5.0,0.0,shell,0,test,3513.0,Rspan.short,E2
12,13.0,D,5.0,1.0,tree,1,ground,3327.0,Rspan.short,E2
13,13.0,D,5.0,2.0,bowl,,,3935.0,Rspan.short,E2
14,13.0,D,5.0,3.0,broom,,,4559.0,Rspan.short,E2
15,13.0,D,5.0,4.0,test,,,4031.0,Rspan.short,E2
16,13.0,D,5.0,5.0,ground,,,3727.0,Rspan.short,E2
17,13.0,D,6.0,0.0,toy,0,toy,3560.0,Rspan.short,E2
18,13.0,D,6.0,1.0,wreck,1,wreck,3527.0,Rspan.short,E2
19,13.0,D,6.0,2.0,frown,2,frown,3319.0,Rspan.short,E2
20,13.0,D,7.0,0.0,deck,0,deck,2912.0,Rspan.short,E2
21,13.0,D,7.0,1.0,slice,1,slice,3167.0,Rspan.short,E2
22,13.0,D,7.0,2.0,rat,2,rat,3247.0,Rspan.short,E2
23,13.0,D,8.0,0.0,ant,0,ink,3144.0,Rspan.short,E2
24,13.0,D,8.0,1.0,air,1,seat,3479.0,Rspan.short,E2
25,13.0,D,8.0,2.0,ink,2,breath,3183.0,Rspan.short,E2
26,13.0,D,8.0,3.0,cloud,,,3983.0,Rspan.short,E2
27,13.0,D,8.0,4.0,seat,,,3511.0,Rspan.short,E2
28,13.0,D,8.0,5.0,breath,,,3167.0,Rspan.short,E2
29,13.0,D,9.0,0.0,beard,0,dirt,5120.0,Rspan.short,E2
30,13.0,D,9.0,1.0,hill,1,card,4335.0,Rspan.short,E2
31,13.0,D,9.0,2.0,dirt,2,line,3711.0,Rspan.short,E2
32,13.0,D,9.0,3.0,card,,,3671.0,Rspan.short,E2
33,13.0,D,9.0,4.0,line,,,4223.0,Rspan.short,E2
34,13.0,D,10.0,0.0,path,0,wood,2768.0,Rspan.short,E2
35,13.0,D,10.0,1.0,nest,1,beach,3407.0,Rspan.short,E2
36,13.0,D,10.0,2.0,square,,,4327.0,Rspan.short,E2
37,13.0,D,10.0,3.0,wood,,,4319.0,Rspan.short,E2
38,13.0,D,10.0,4.0,beach,,,3967.0,Rspan.short,E2
39,13.0,D,11.0,0.0,mare,0,mare,3032.0,Rspan.short,E2
40,13.0,D,11.0,1.0,bell,1,bell,2991.0,Rspan.short,E2
41,13.0,D,11.0,2.0,brain,2,beef,3359.0,Rspan.short,E2
42,13.0,D,11.0,3.0,beef,,,3447.0,Rspan.short,E2
43,13.0,D,12.0,0.0,coin,0,coin,4064.0,Rspan.short,E2
44,13.0,D,12.0,1.0,film,1,map,3343.0,Rspan.short,E2
45,13.0,D,12.0,2.0,leaf,2,art,4215.0,Rspan.short,E2
46,13.0,D,12.0,3.0,train,,,3335.0,Rspan.short,E2
47,13.0,D,12.0,4.0,map,,,4511.0,Rspan.short,E2
48,13.0,D,12.0,5.0,art,,,3255.0,Rspan.short,E2
49,13.0,D,13.0,0.0,spice,0,sheep,3592.0,Rspan.short,E2
50,13.0,D,13.0,1.0,heat,1,pear,2823.0,Rspan.short,E2
51,13.0,D,13.0,2.0,shape,2,guest,3127.0,Rspan.short,E2
52,13.0,D,13.0,3.0,pear,,,3487.0,Rspan.short,E2
53,13.0,D,13.0,4.0,guest,,,2831.0,Rspan.short,E2
54,13.0,D,14.0,0.0,chest,0,hair,3688.0,Rspan.short,E2
55,13.0,D,14.0,1.0,lane,1,crown,3719.0,Rspan.short,E2
56,13.0,D,14.0,2.0,hair,,,3951.0,Rspan.short,E2
57,13.0,D,14.0,3.0,crown,,,4327.0,Rspan.short,E2
58,13.0,D,15.0,0.0,neck,0,neck,3944.0,Rspan.short,E2
59,13.0,D,15.0,1.0,town,1,hat,4015.0,Rspan.short,E2
60,13.0,D,15.0,2.0,hat,2,street,3647.0,Rspan.short,E2
61,13.0,D,15.0,3.0,street,,,3399.0,Rspan.short,E2
62,13.0,S,16.0,0.0,pie,0,pie,3528.0,Rspan.short,E2
