,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
0,1.0,P,0.0,bath,0.0,0,mk,6824.0,R.pool350,E9pool
1,1.0,P,0.0,dawn,1.0,,,6910.0,R.pool350,E9pool
2,1.0,P,1.0,farm,0.0,0,farm,8759.0,R.pool350,E9pool
3,1.0,P,1.0,arm,1.0,1,arm,6454.0,R.pool350,E9pool
4,1.0,P,2.0,hood,0.0,0,hood,6619.0,R.pool350,E9pool
5,1.0,P,2.0,wood,1.0,1,wood,6072.0,R.pool350,E9pool
6,1.0,P,3.0,earth,0.0,0,earth,7823.0,R.pool350,E9pool
7,1.0,P,3.0,peach,1.0,1,peach,7421.0,R.pool350,E9pool
8,1.0,S,4.0,king,0.0,0,king,6494.0,R.pool350,E9pool
9,1.0,S,4.0,ring,1.0,1,ring,6242.0,R.pool350,E9pool
10,1.0,S,4.0,spring,2.0,2,spring,6009.0,R.pool350,E9pool
11,1.0,S,4.0,string,3.0,3,string,6385.0,R.pool350,E9pool
12,1.0,S,4.0,wing,4.0,4,wing,6384.0,R.pool350,E9pool
13,1.0,D,5.0,neck,0.0,0,neck,5840.0,R.pool350,E9pool
14,1.0,D,5.0,town,1.0,1,town,4799.0,R.pool350,E9pool
15,1.0,D,5.0,hat,2.0,2,hat,6840.0,R.pool350,E9pool
16,1.0,D,5.0,street,3.0,3,street,6295.0,R.pool350,E9pool
17,1.0,D,6.0,rice,0.0,0,rice,6755.0,R.pool350,E9pool
18,1.0,D,6.0,cat,1.0,1,cat,5795.0,R.pool350,E9pool
19,1.0,D,6.0,trash,2.0,2,trash,5509.0,R.pool350,E9pool
20,1.0,S,7.0,bread,0.0,0,bread,6733.0,R.pool350,E9pool
21,1.0,S,7.0,head,1.0,1,head,6336.0,R.pool350,E9pool
22,1.0,S,7.0,thread,2.0,2,,5818.0,R.pool350,E9pool
23,1.0,S,7.0,bed,3.0,3,bed,7856.0,R.pool350,E9pool
24,1.0,S,8.0,doll,0.0,0,doll,6450.0,R.pool350,E9pool
25,1.0,S,8.0,ball,1.0,1,ball,7904.0,R.pool350,E9pool
