,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
0,100.0,P,0.0,farm,0.0,0,farm,17454.0,Rspan.names.long,E11names
1,100.0,P,0.0,arm,1.0,,,8346.0,Rspan.names.long,E11names
2,100.0,P,1.0,hood,0.0,0,hood,22797.0,Rspan.names.long,E11names
3,100.0,P,1.0,wood,1.0,1,wood,7526.0,Rspan.names.long,E11names
4,100.0,P,2.0,bath,0.0,0,bath,7660.0,Rspan.names.long,E11names
5,100.0,P,2.0,dawn,1.0,1,dawn,7322.0,Rspan.names.long,E11names
6,100.0,P,3.0,earth,0.0,0,earth,9241.0,Rspan.names.long,E11names
7,100.0,P,3.0,peach,1.0,1,peach,7246.0,Rspan.names.long,E11names
8,100.0,D,4.0,neck,0.0,0,,7134.0,Rspan.names.long,E11names
9,100.0,D,4.0,town,1.0,1,,7632.0,Rspan.names.long,E11names
10,100.0,D,4.0,hat,2.0,2,town,7686.0,Rspan.names.long,E11names
11,100.0,D,4.0,street,3.0,3,street,8521.0,Rspan.names.long,E11names
12,100.0,S,5.0,bone,0.0,0,bone,6047.0,Rspan.names.long,E11names
13,100.0,S,5.0,phone,1.0,1,phone,7471.0,Rspan.names.long,E11names
14,100.0,S,5.0,stone,2.0,2,stone,8673.0,Rspan.names.long,E11names
15,100.0,D,6.0,coin,0.0,0,coin,8598.0,Rspan.names.long,E11names
16,100.0,D,6.0,film,1.0,1,film,8413.0,Rspan.names.long,E11names
17,100.0,D,6.0,leaf,2.0,2,leaf,9010.0,Rspan.names.long,E11names
18,100.0,D,6.0,train,3.0,3,map,8599.0,Rspan.names.long,E11names
19,100.0,D,6.0,map,4.0,4,art,7774.0,Rspan.names.long,E11names
20,100.0,D,6.0,art,5.0,,,7789.0,Rspan.names.long,E11names
21,100.0,D,7.0,path,0.0,0,nest,200.0,Rspan.names.long,E11names
22,100.0,D,7.0,nest,1.0,1,square,6262.0,Rspan.names.long,E11names
23,100.0,D,7.0,square,2.0,2,wood,8485.0,Rspan.names.long,E11names
24,100.0,D,7.0,wood,3.0,3,,8081.0,Rspan.names.long,E11names
25,100.0,D,7.0,beach,4.0,,,7947.0,Rspan.names.long,E11names
26,100.0,D,8.0,rice,0.0,0,rice,8073.0,Rspan.names.long,E11names
27,100.0,D,8.0,cat,1.0,1,cat,7268.0,Rspan.names.long,E11names
28,100.0,D,8.0,trash,2.0,2,trash,8135.0,Rspan.names.long,E11names
29,100.0,S,9.0,bread,0.0,0,bread,6477.0,Rspan.names.long,E11names
30,100.0,S,9.0,head,1.0,1,head,7305.0,Rspan.names.long,E11names
31,100.0,S,9.0,thread,2.0,2,thread,8908.0,Rspan.names.long,E11names
32,100.0,S,9.0,bed,3.0,3,bed,8669.0,Rspan.names.long,E11names
33,100.0,S,10.0,king,0.0,0,king,6217.0,Rspan.names.long,E11names
34,100.0,S,10.0,ring,1.0,1,ring,7615.0,Rspan.names.long,E11names
35,100.0,S,10.0,spring,2.0,2,spring,6773.0,Rspan.names.long,E11names
36,100.0,S,10.0,string,3.0,3,string,6878.0,Rspan.names.long,E11names
37,100.0,S,10.0,wing,4.0,,,6834.0,Rspan.names.long,E11names
38,100.0,S,11.0,doll,0.0,0,doll,6816.0,Rspan.names.long,E11names
39,100.0,S,11.0,ball,1.0,1,ball,7264.0,Rspan.names.long,E11names
40,100.0,S,11.0,shawl,2.0,2,,6781.0,Rspan.names.long,E11names
41,100.0,S,11.0,hall,3.0,3,shawl,9997.0,Rspan.names.long,E11names
42,100.0,S,11.0,brawl,4.0,,,7834.0,Rspan.names.long,E11names
43,100.0,S,11.0,wall,5.0,,,8263.0,Rspan.names.long,E11names
44,100.0,S,12.0,jar,0.0,0,jar,6652.0,Rspan.names.long,E11names
45,100.0,S,12.0,bar,1.0,1,bar,8211.0,Rspan.names.long,E11names
46,100.0,S,12.0,car,2.0,2,car,7896.0,Rspan.names.long,E11names
47,100.0,S,12.0,scar,3.0,3,scar,7915.0,Rspan.names.long,E11names
48,100.0,S,12.0,star,4.0,4,,7685.0,Rspan.names.long,E11names
49,100.0,S,13.0,cream,0.0,0,cream,7516.0,Rspan.names.long,E11names
50,100.0,S,13.0,team,1.0,1,team,7447.0,Rspan.names.long,E11names
51,100.0,S,13.0,steam,2.0,2,steam,8692.0,Rspan.names.long,E11names
52,100.0,D,14.0,ant,0.0,0,,6526.0,Rspan.names.long,E11names
53,100.0,D,14.0,air,1.0,1,,8017.0,Rspan.names.long,E11names
54,100.0,D,14.0,ink,2.0,2,cloud,8119.0,Rspan.names.long,E11names
55,100.0,D,14.0,cloud,3.0,3,ink,9240.0,Rspan.names.long,E11names
56,100.0,D,14.0,seat,4.0,4,,8619.0,Rspan.names.long,E11names
57,100.0,D,14.0,breath,5.0,,,7928.0,Rspan.names.long,E11names
58,100.0,S,15.0,boot,0.0,0,boot,7802.0,Rspan.names.long,E11names
59,100.0,S,15.0,suit,1.0,1,,8186.0,Rspan.names.long,E11names
60,100.0,S,15.0,flute,2.0,2,flute,9368.0,Rspan.names.long,E11names
61,100.0,S,15.0,loot,3.0,,,7918.0,Rspan.names.long,E11names
62,100.0,S,15.0,root,4.0,,,7743.0,Rspan.names.long,E11names
63,100.0,S,15.0,brute,5.0,,,9993.0,Rspan.names.long,E11names
64,100.0,D,16.0,spice,0.0,0,spice,7068.0,Rspan.names.long,E11names
65,100.0,D,16.0,heat,1.0,1,heat,8673.0,Rspan.names.long,E11names
66,100.0,D,16.0,shape,2.0,2,,10603.0,Rspan.names.long,E11names
67,100.0,D,16.0,pear,3.0,3,pear,10503.0,Rspan.names.long,E11names
68,100.0,D,16.0,guest,4.0,4,guest,8382.0,Rspan.names.long,E11names
69,100.0,S,17.0,deer,0.0,0,deer,8275.0,Rspan.names.long,E11names
70,100.0,S,17.0,sphere,1.0,1,sphere,8799.0,Rspan.names.long,E11names
71,100.0,S,17.0,ear,2.0,2,,9324.0,Rspan.names.long,E11names
72,100.0,S,17.0,tear,3.0,3,tear,9500.0,Rspan.names.long,E11names
73,100.0,D,18.0,toy,0.0,0,toy,7592.0,Rspan.names.long,E11names
74,100.0,D,18.0,wreck,1.0,1,wreck,8295.0,Rspan.names.long,E11names
75,100.0,D,18.0,frown,2.0,2,frown,7905.0,Rspan.names.long,E11names
76,100.0,D,19.0,chest,0.0,0,chest,6351.0,Rspan.names.long,E11names
77,100.0,D,19.0,lane,1.0,1,lane,6497.0,Rspan.names.long,E11names
78,100.0,D,19.0,hair,2.0,2,hair,8997.0,Rspan.names.long,E11names
79,100.0,D,19.0,crown,3.0,3,crown,8195.0,Rspan.names.long,E11names
80,100.0,S,20.0,pie,0.0,0,,6876.0,Rspan.names.long,E11names
81,100.0,S,20.0,fly,1.0,1,sky,7048.0,Rspan.names.long,E11names
82,100.0,S,20.0,tie,2.0,2,tie,8918.0,Rspan.names.long,E11names
83,100.0,S,20.0,sky,3.0,3,,8846.0,Rspan.names.long,E11names
84,100.0,S,20.0,eye,4.0,4,,7370.0,Rspan.names.long,E11names
85,100.0,D,21.0,beard,0.0,0,beard,8295.0,Rspan.names.long,E11names
86,100.0,D,21.0,hill,1.0,1,,7241.0,Rspan.names.long,E11names
87,100.0,D,21.0,dirt,2.0,2,card,7751.0,Rspan.names.long,E11names
88,100.0,D,21.0,card,3.0,3,line,6775.0,Rspan.names.long,E11names
89,100.0,D,21.0,line,4.0,,,9095.0,Rspan.names.long,E11names
90,100.0,D,22.0,shell,0.0,0,,7240.0,Rspan.names.long,E11names
91,100.0,D,22.0,tree,1.0,1,,9165.0,Rspan.names.long,E11names
92,100.0,D,22.0,bowl,2.0,2,,8716.0,Rspan.names.long,E11names
93,100.0,D,22.0,broom,3.0,3,,10285.0,Rspan.names.long,E11names
94,100.0,D,22.0,test,4.0,4,test,7390.0,Rspan.names.long,E11names
95,100.0,D,22.0,ground,5.0,5,ground,7516.0,Rspan.names.long,E11names
96,100.0,S,23.0,band,0.0,0,band,6518.0,Rspan.names.long,E11names
97,100.0,S,23.0,land,1.0,1,land,9696.0,Rspan.names.long,E11names
98,100.0,S,23.0,stand,2.0,2,sand,9385.0,Rspan.names.long,E11names
