,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
0,103.0,P,0.0,farm,0.0,0,farm,8817.0,Rspan.names.short,E11names
1,103.0,P,0.0,arm,1.0,1,arm,7262.0,Rspan.names.short,E11names
2,103.0,P,1.0,bath,0.0,0,bath,7288.0,Rspan.names.short,E11names
3,103.0,P,1.0,dawn,1.0,1,dawn,6259.0,Rspan.names.short,E11names
4,103.0,P,2.0,hood,0.0,0,,6807.0,Rspan.names.short,E11names
5,103.0,P,2.0,wood,1.0,1,wood,6822.0,Rspan.names.short,E11names
6,103.0,P,3.0,earth,0.0,0,earth,5672.0,Rspan.names.short,E11names
7,103.0,P,3.0,peach,1.0,1,peach,5606.0,Rspan.names.short,E11names
8,103.0,D,4.0,path,0.0,0,peach,6067.0,Rspan.names.short,E11names
9,103.0,D,4.0,nest,1.0,1,,6496.0,Rspan.names.short,E11names
10,103.0,D,4.0,square,2.0,2,square,7972.0,Rspan.names.short,E11names
11,103.0,D,4.0,wood,3.0,3,wood,7635.0,Rspan.names.short,E11names
12,103.0,D,4.0,beach,4.0,4,beach,8481.0,Rspan.names.short,E11names
13,103.0,D,5.0,coin,0.0,0,coin,6466.0,Rspan.names.short,E11names
14,103.0,D,5.0,film,1.0,1,film,7485.0,Rspan.names.short,E11names
15,103.0,D,5.0,leaf,2.0,2,train,7641.0,Rspan.names.short,E11names
16,103.0,D,5.0,train,3.0,3,leaf,7294.0,Rspan.names.short,E11names
17,103.0,D,5.0,map,4.0,4,art,7825.0,Rspan.names.short,E11names
18,103.0,D,5.0,art,5.0,,,7871.0,Rspan.names.short,E11names
19,103.0,S,6.0,doll,0.0,0,doll,6398.0,Rspan.names.short,E11names
20,103.0,S,6.0,ball,1.0,1,ball,6102.0,Rspan.names.short,E11names
21,103.0,S,6.0,shawl,2.0,2,shawl,7906.0,Rspan.names.short,E11names
22,103.0,S,6.0,hall,3.0,3,brawl,8276.0,Rspan.names.short,E11names
23,103.0,S,6.0,brawl,4.0,4,wall,6351.0,Rspan.names.short,E11names
24,103.0,S,6.0,wall,5.0,,,8913.0,Rspan.names.short,E11names
25,103.0,D,7.0,rice,0.0,0,rice,7278.0,Rspan.names.short,E11names
26,103.0,D,7.0,cat,1.0,1,cat,6914.0,Rspan.names.short,E11names
27,103.0,D,7.0,trash,2.0,2,trash,8269.0,Rspan.names.short,E11names
28,103.0,S,8.0,bone,0.0,0,bone,7035.0,Rspan.names.short,E11names
29,103.0,S,8.0,phone,1.0,1,phone,7240.0,Rspan.names.short,E11names
30,103.0,S,8.0,stone,2.0,2,stone,6870.0,Rspan.names.short,E11names
31,103.0,S,9.0,king,0.0,0,king,6992.0,Rspan.names.short,E11names
32,103.0,S,9.0,ring,1.0,1,ring,7480.0,Rspan.names.short,E11names
33,103.0,S,9.0,spring,2.0,2,string,6860.0,Rspan.names.short,E11names
34,103.0,S,9.0,string,3.0,3,wing,6961.0,Rspan.names.short,E11names
35,103.0,S,9.0,wing,4.0,,,7755.0,Rspan.names.short,E11names
36,103.0,D,10.0,neck,0.0,0,neck,6342.0,Rspan.names.short,E11names
37,103.0,D,10.0,town,1.0,1,town,6472.0,Rspan.names.short,E11names
38,103.0,D,10.0,hat,2.0,2,street,7533.0,Rspan.names.short,E11names
39,103.0,D,10.0,street,3.0,,,8526.0,Rspan.names.short,E11names
40,103.0,S,11.0,bread,0.0,0,bread,6322.0,Rspan.names.short,E11names
