"","Subject","task","folder","trialtype","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"1","1","R.pool350","E9pool","D",0.777777777777778,0.796296296296296,1,0.166666666666667,0.0185185185185185,NA,NA,0.0185185185185185,0.976744186046512
"2","1","R.pool350","E9pool","S",0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"3","1","R.scramb","E7","D",0.462962962962963,0.62962962962963,1,0.296296296296296,0.166666666666667,NA,NA,0.0185185185185185,0.735294117647059
"4","1","R.scramb","E7","S",0.62962962962963,0.777777777777778,1,0.185185185185185,0.148148148148148,NA,NA,0,0.80952380952381
"5","2","R.pool350","E9pool","D",0.203703703703704,0.407407407407407,1,0.444444444444444,0.203703703703704,NA,NA,0.037037037037037,0.5
"6","2","R.pool350","E9pool","S",0.5,0.722222222222222,1,0.240740740740741,0.222222222222222,NA,NA,0,0.692307692307692
"7","3","Ospan.reg","E4","D",0.407407407407407,0.62962962962963,1,0.314814814814815,0.222222222222222,NA,NA,0.0555555555555556,0.647058823529412
"8","3","Ospan.reg","E4","S",0.388888888888889,0.666666666666667,1,0.314814814814815,0.277777777777778,NA,NA,0,0.583333333333333
"9","3","R.pool350","E9pool","D",0.222222222222222,0.351851851851852,1,0.574074074074074,0.12962962962963,NA,NA,0.037037037037037,0.631578947368421
"10","3","R.pool350","E9pool","S",0.388888888888889,0.62962962962963,1,0.37037037037037,0.240740740740741,NA,NA,0,0.617647058823529
"11","4","Ospan.reg","E4","D",0.277777777777778,0.481481481481481,1,0.444444444444444,0.203703703703704,NA,NA,0.0555555555555556,0.576923076923077
"12","4","Ospan.reg","E4","S",0.351851851851852,0.537037037037037,1,0.462962962962963,0.185185185185185,NA,NA,0,0.655172413793103
"13","4","R.pool350","E9pool","D",0.351851851851852,0.444444444444444,1,0.462962962962963,0.0925925925925926,NA,NA,0.0185185185185185,0.791666666666667
"14","4","R.pool350","E9pool","S",0.407407407407407,0.537037037037037,1,0.444444444444444,0.12962962962963,NA,NA,0,0.758620689655172
"15","5","Ospan.reg","E4","D",0.740740740740741,0.851851851851852,1,0.148148148148148,0.111111111111111,NA,NA,0,0.869565217391304
"16","5","Ospan.reg","E4","S",0.611111111111111,0.759259259259259,1,0.240740740740741,0.148148148148148,NA,NA,0,0.804878048780488
"17","5","R.pool350","E9pool","D",0.537037037037037,0.740740740740741,1,0.240740740740741,0.203703703703704,NA,NA,0,0.725
"18","5","R.pool350","E9pool","S",0.648148148148148,0.833333333333333,1,0.0555555555555556,0.185185185185185,NA,NA,0,0.777777777777778
"19","6","Ospan.reg","E4","D",0.444444444444444,0.666666666666667,1,0.333333333333333,0.222222222222222,NA,NA,0,0.666666666666667
"20","6","Ospan.reg","E4","S",0.648148148148148,0.87037037037037,1,0.12962962962963,0.222222222222222,NA,NA,0,0.74468085106383
"21","6","R.pool350","E9pool","D",0.166666666666667,0.481481481481481,1,0.481481481481481,0.314814814814815,NA,NA,0,0.346153846153846
"22","6","R.pool350","E9pool","S",0.333333333333333,0.592592592592593,1,0.333333333333333,0.259259259259259,NA,NA,0,0.5625
"23","7","Ospan.reg","E4","D",0.685185185185185,0.833333333333333,1,0.12962962962963,0.148148148148148,NA,NA,0.0185185185185185,0.822222222222222
"24","7","Ospan.reg","E4","S",0.555555555555556,0.759259259259259,1,0.166666666666667,0.203703703703704,NA,NA,0,0.731707317073171
"25","7","R.pool350","E9pool","D",0.703703703703704,0.740740740740741,1,0.148148148148148,0.037037037037037,NA,NA,0.0185185185185185,0.95
"26","7","R.pool350","E9pool","S",0.814814814814815,0.87037037037037,1,0.111111111111111,0.0555555555555556,NA,NA,0,0.936170212765957
"27","8","Ospan.reg","E4","D",0.314814814814815,0.611111111111111,1,0.333333333333333,0.296296296296296,NA,NA,0.037037037037037,0.515151515151515
"28","8","Ospan.reg","E4","S",0.425925925925926,0.703703703703704,1,0.259259259259259,0.277777777777778,NA,NA,0,0.605263157894737
"29","8","R.pool350","E9pool","D",0.518518518518518,0.555555555555556,1,0.407407407407407,0.037037037037037,NA,NA,0,0.933333333333333
"30","8","R.pool350","E9pool","S",0.611111111111111,0.703703703703704,1,0.277777777777778,0.0925925925925926,NA,NA,0,0.868421052631579
"31","8","Rspan.long","E2","D",0.592592592592593,0.685185185185185,1,0.333333333333333,0.0925925925925926,NA,NA,0,0.864864864864865
"32","8","Rspan.long","E2","S",0.592592592592593,0.759259259259259,1,0.240740740740741,0.166666666666667,NA,NA,0,0.780487804878049
"33","9","Ospan.reg","E4","D",0.666666666666667,0.796296296296296,1,0.185185185185185,0.12962962962963,NA,NA,0,0.837209302325581
"34","9","Ospan.reg","E4","S",0.833333333333333,0.888888888888889,1,0.0740740740740741,0.0555555555555556,NA,NA,0,0.9375
"35","9","R.pool350","E9pool","D",0.648148148148148,0.740740740740741,1,0.259259259259259,0.0925925925925926,NA,NA,0,0.875
"36","9","R.pool350","E9pool","S",0.62962962962963,0.740740740740741,1,0.240740740740741,0.111111111111111,NA,NA,0,0.85
"37","10","R.pool350","E9pool","D",0.777777777777778,0.833333333333333,1,0.12962962962963,0.0555555555555556,NA,NA,0.0185185185185185,0.933333333333333
"38","10","R.pool350","E9pool","S",0.722222222222222,0.796296296296296,1,0.166666666666667,0.0740740740740741,NA,NA,0,0.906976744186047
"39","10","Rspan.long","E2","D",0.351851851851852,0.5,1,0.481481481481481,0.148148148148148,NA,NA,0.0185185185185185,0.703703703703704
"40","10","Rspan.long","E2","S",0.62962962962963,0.703703703703704,1,0.296296296296296,0.0740740740740741,NA,NA,0,0.894736842105263
"41","11","R.pool350","E9pool","D",0.703703703703704,0.722222222222222,1,0.222222222222222,0.0185185185185185,NA,NA,0,0.974358974358974
"42","11","R.pool350","E9pool","S",0.574074074074074,0.703703703703704,1,0.296296296296296,0.12962962962963,NA,NA,0,0.815789473684211
"43","12","Ospan.reg","E4","D",0.574074074074074,0.722222222222222,1,0.222222222222222,0.148148148148148,NA,NA,0.037037037037037,0.794871794871795
"44","12","Ospan.reg","E4","S",0.537037037037037,0.796296296296296,1,0.12962962962963,0.259259259259259,NA,NA,0,0.674418604651163
"45","12","R.pool350","E9pool","D",0.685185185185185,0.777777777777778,1,0.12962962962963,0.0925925925925926,NA,NA,0.0555555555555556,0.880952380952381
"46","12","R.pool350","E9pool","S",0.796296296296296,0.907407407407407,1,0.0740740740740741,0.111111111111111,NA,NA,0,0.877551020408163
"47","12","Rspan.long","E2","D",0.444444444444444,0.555555555555556,1,0.314814814814815,0.111111111111111,NA,NA,0.0925925925925926,0.8
"48","12","Rspan.long","E2","S",0.5,0.740740740740741,1,0.222222222222222,0.240740740740741,NA,NA,0,0.675
"49","13","Ospan.reg","E4","D",0.851851851851852,0.888888888888889,1,0.111111111111111,0.037037037037037,NA,NA,0,0.958333333333333
"50","13","Ospan.reg","E4","S",0.796296296296296,0.888888888888889,1,0.0555555555555556,0.0925925925925926,NA,NA,0,0.895833333333333
"51","13","R.pool350","E9pool","D",0.574074074074074,0.62962962962963,1,0.333333333333333,0.0555555555555556,NA,NA,0,0.911764705882353
"52","13","R.pool350","E9pool","S",0.611111111111111,0.759259259259259,1,0.203703703703704,0.148148148148148,NA,NA,0,0.804878048780488
"53","13","Rspan.short","E2","D",0.222222222222222,0.574074074074074,1,0.388888888888889,0.351851851851852,NA,NA,0,0.387096774193548
"54","13","Rspan.short","E2","S",0.351851851851852,0.685185185185185,1,0.296296296296296,0.333333333333333,NA,NA,0,0.513513513513513
"55","14","Ospan.reg","E4","D",0.703703703703704,0.796296296296296,1,0.111111111111111,0.0925925925925926,NA,NA,0.0925925925925926,0.883720930232558
"56","14","Ospan.reg","E4","S",0.62962962962963,0.777777777777778,1,0.222222222222222,0.148148148148148,NA,NA,0,0.80952380952381
"57","14","R.pool350","E9pool","D",0.851851851851852,0.87037037037037,1,0.0925925925925926,0.0185185185185185,NA,NA,0,0.978723404255319
"58","14","R.pool350","E9pool","S",0.907407407407407,0.944444444444444,1,0.0555555555555556,0.037037037037037,NA,NA,0,0.96078431372549
"59","14","Rspan.long","E2","D",0.518518518518518,0.666666666666667,1,0.222222222222222,0.148148148148148,NA,NA,0.0555555555555556,0.777777777777778
"60","14","Rspan.long","E2","S",0.611111111111111,0.851851851851852,1,0.111111111111111,0.240740740740741,NA,NA,0,0.717391304347826
"61","15","Ospan.reg","E4","D",0.462962962962963,0.62962962962963,1,0.296296296296296,0.166666666666667,NA,NA,0.0555555555555556,0.735294117647059
"62","15","Ospan.reg","E4","S",0.407407407407407,0.722222222222222,1,0.203703703703704,0.314814814814815,NA,NA,0,0.564102564102564
"63","15","Rspan.short","E2","D",0.481481481481481,0.611111111111111,1,0.351851851851852,0.12962962962963,NA,NA,0,0.787878787878788
"64","15","Rspan.short","E2","S",0.555555555555556,0.796296296296296,1,0.185185185185185,0.240740740740741,NA,NA,0,0.697674418604651
"65","16","Ospan.reg","E4","D",0.759259259259259,0.851851851851852,1,0.0740740740740741,0.0925925925925926,NA,NA,0.037037037037037,0.891304347826087
"66","16","Ospan.reg","E4","S",0.555555555555556,0.759259259259259,1,0.12962962962963,0.203703703703704,NA,NA,0,0.731707317073171
"67","16","Rspan.long","E2","D",0.425925925925926,0.611111111111111,1,0.333333333333333,0.185185185185185,NA,NA,0.037037037037037,0.696969696969697
"68","16","Rspan.long","E2","S",0.611111111111111,0.777777777777778,1,0.185185185185185,0.166666666666667,NA,NA,0,0.785714285714286
