"","Subject","task","trialtype","ACC.transdist","freq"
"1","1","R.pool350","D",0,42
"2","1","R.pool350","D",1,1
"3","1","R.pool350","D",NA,11
"4","1","R.pool350","S",0,48
"5","1","R.pool350","S",NA,6
"6","1","R.scramb","D",-2,1
"7","1","R.scramb","D",-1,4
"8","1","R.scramb","D",0,25
"9","1","R.scramb","D",1,3
"10","1","R.scramb","D",3,1
"11","1","R.scramb","D",NA,20
"12","1","R.scramb","S",-2,2
"13","1","R.scramb","S",-1,5
"14","1","R.scramb","S",0,34
"15","1","R.scramb","S",1,1
"16","1","R.scramb","S",NA,12
"17","2","R.pool350","D",-4,1
"18","2","R.pool350","D",-3,2
"19","2","R.pool350","D",-2,3
"20","2","R.pool350","D",-1,4
"21","2","R.pool350","D",0,11
"22","2","R.pool350","D",2,1
"23","2","R.pool350","D",NA,34
"24","2","R.pool350","S",-3,1
"25","2","R.pool350","S",-2,6
"26","2","R.pool350","S",-1,3
"27","2","R.pool350","S",0,27
"28","2","R.pool350","S",1,1
"29","2","R.pool350","S",2,1
"30","2","R.pool350","S",NA,20
"31","3","Ospan.reg","D",-2,4
"32","3","Ospan.reg","D",-1,6
"33","3","Ospan.reg","D",0,22
"34","3","Ospan.reg","D",1,2
"35","3","Ospan.reg","D",NA,20
"36","3","Ospan.reg","S",-3,1
"37","3","Ospan.reg","S",-2,2
"38","3","Ospan.reg","S",-1,10
"39","3","Ospan.reg","S",0,21
"40","3","Ospan.reg","S",1,1
"41","3","Ospan.reg","S",2,1
"42","3","Ospan.reg","S",NA,18
"43","3","R.pool350","D",-3,1
"44","3","R.pool350","D",-2,1
"45","3","R.pool350","D",-1,5
"46","3","R.pool350","D",0,12
"47","3","R.pool350","D",NA,37
"48","3","R.pool350","S",-3,2
"49","3","R.pool350","S",-2,1
"50","3","R.pool350","S",-1,7
"51","3","R.pool350","S",0,21
"52","3","R.pool350","S",1,2
"53","3","R.pool350","S",2,1
"54","3","R.pool350","S",NA,22
"55","4","Ospan.reg","D",-2,1
"56","4","Ospan.reg","D",-1,6
"57","4","Ospan.reg","D",0,15
"58","4","Ospan.reg","D",1,4
"59","4","Ospan.reg","D",NA,28
"60","4","Ospan.reg","S",-4,1
"61","4","Ospan.reg","S",-2,1
"62","4","Ospan.reg","S",-1,5
"63","4","Ospan.reg","S",0,19
"64","4","Ospan.reg","S",1,3
"65","4","Ospan.reg","S",NA,25
"66","4","R.pool350","D",-1,4
"67","4","R.pool350","D",0,19
"68","4","R.pool350","D",1,1
"69","4","R.pool350","D",NA,32
"70","4","R.pool350","S",-1,3
"71","4","R.pool350","S",0,22
"72","4","R.pool350","S",1,3
"73","4","R.pool350","S",3,1
"74","4","R.pool350","S",NA,26
"75","5","Ospan.reg","D",-1,5
"76","5","Ospan.reg","D",0,40
"77","5","Ospan.reg","D",2,1
"78","5","Ospan.reg","D",NA,8
"79","5","Ospan.reg","S",-1,5
"80","5","Ospan.reg","S",0,33
"81","5","Ospan.reg","S",1,3
"82","5","Ospan.reg","S",NA,13
"83","5","R.pool350","D",-3,1
"84","5","R.pool350","D",-2,5
"85","5","R.pool350","D",-1,4
"86","5","R.pool350","D",0,29
"87","5","R.pool350","D",1,1
